HIAT,GAT,Transkript,Korpus,Meta,HTML,Data,Fix,Name,Anzeigename,Web?,Beschreibung,Parameter,Anmerkung,,,,,,,,,,,,,,,,,,,,,
,,x,,x,,ComaData,0,AddCSVMetadataToComa,Metadaten aus CSV hinzufügen (COMA),j,Metadaten aus CSV automatisch in COMA integrieren,x,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CmdiData,0,CmdiChecker,Metadatenprofil prüfen (CMDI),?,CMDI Metadaten für HZSK Repo werden geprüft,,,,,,,,,,,,,,,,,,,,,,,
,,,,x,,ComaData,1,ComaAddTiersFromExbsCorrector,Spuren auslesen & hinzufügen (COMA),j,Aus den EXB werden die Spuren ausgelesen und in der COMA hinterlegt,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,1,ComaApostropheChecker,Apostrophe prüfen & ersetzen (COMA),j,Falsche Apostrophe werden ersetzt,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,0,ComaChartsGeneration,HTML-Diagramme erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFedoraIdentifierLengthChecker,,n,Check von IDs für HZSK Fedora PID-Limits =>,,obsolet?,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFileCoverageChecker,Vorhandensein referenzierter Dateien prüfen (COMA),j,Prüft ob alle referenzierten Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaFilenameChecker,,n,Prüft auf Link und Dateinamen für HZSK Repo,,obsolet?,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,1,ComaKmlForLocations,,n,Fügt zu Locations (Metadaten) die GEO-Koordinaten durch Google-API hinzu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaNSLinksChecker,Vorhandensein verlinkter Dateien prüfen (COMA),j,Prüft ob alle verlinkten Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,x,ComaData,0,ComaOverviewGeneration,HTML-Übersicht erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht,,,,,,,,,,,,,,,,,,,,,,,
,,x,x,,,ComaData,1,ComaSegmentCountChecker,Segmentzählung prüfen & erneuern (COMA),j,Prüft Segmentierungs-Algorythmen und bei fix zählt es die Segmente neu,,,,,,,,,,,,,,,,,,,,,,,
,,x,x,,x,ComaData,0,ComaTierOverviewCreator,HTML-Spurübersicht erzeugen (COMA),j,Erstellt eine sortier- und filterbare HTML Übersicht aller Tiers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaTiersDescriptionAnnotationPanelChecker,verwendete Annotationszeichen mit Annotationspanel vergleichen  (COMA),j,Prüft ob verwendete Annotationszeichen auch im Annotation Panel vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,1,ComaTranscriptionsNameChecker,,n,"Prüfung, ob Dateinamen der EXB und EXS-Dateien übereinstimmen",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ComaXsdChecker,,n,Prüft die COMA gegen XML-Schema; CLARIN-Schema für HZSK Repo,x,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,CorpusDataRegexReplacer,auf reguläre Ausdrücke prüfen & ersetzen (EXB),j,Prüft Dateien auf eventuell vorhandenen RegEx-Vorkommen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,CorpusHTML,,n,Erstellt HTML Übersicht des Korpus für Repo-Ingest,,"obsolet, da für HZSKK Repo?",,,,,,,,,,,,,,,,,,,,,
,,x,,,,ComaData,0,DuplicateTierContentChecker,EXB-Dateien einzeln & auf Duplikate prüfen (EXB),j,Prüft alle verlinkten EXB-Dateien und prüft (auch annähern) nach Duplikaten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ELANData,0,ElanPunctuationChecker,,n,"Prüft nach Punktwertungen, die Import in FLEX verhindern",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,EXB2HIATISOTEI,EXB-Dateien in ISO-TEI konvertieren (EXB),j,Konvertiert EXB in ISO standard TEI format,,als neue Datei,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,ExbAnnotationPanelCheck,verwendete Annotationszeichen mit Annotationspanel vergleichen  (EXB),j,Prüft ob verwendete Annotationszeichen auch im Panel vorhanden sind,x,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbCalculateAnnotatedTime,annotierte Zeit pro Annotation berechnen (EXB),j,Kalkuliert anmontierte Zeit (jeder Annotation),,wo steht das dann?,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbEventLinebreaksChecker,auf Zeitumbrüche prüfen & korrigieren (EXB),j,Prüft auf Zeilenumbrüche im Transkript,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbEventTokenizationChecker,auf falsche Leerzeichen prüfen (EXB),j,Prüfung auf internal whitespace characters,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,ExbFileCoverageChecker,Vorhandensein verlinkter Dateien prüfen (EXB),j,Prüft ob verlinkte Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,ExbFileReferenceChecker,Vorhandensein referenzierter Dateien prüfen (EXB),j,Prüft ob referenzierte Dateien vorhanden sind,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbForbiddenSymbolsChecker,auf verbotene Symbole prüfen (EXB),j,Prüft ob nicht erlaubte Symbole vorhanden sind,,auf welcher Basis?,,,,,,,,,,,,,,,,,,,,,
,x,,,,,BasicTranscriptionData,1,ExbGATChecker,auf GAT-Transkriptionsfehler prüfen & korrigieren (EXB),j,NOCH NICHT VORHANDEN,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,BasicTranscriptionData,1,ExbHIATChecker,auf HIAT-Transkriptionsfehler prüfen & korrigieren (EXB),j,NOCH NICHT VORHANDEN,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbMakeTimelineConsistent,Zeitmarken prüfen & interpolieren (EXB),j,Entfernt falsche Zeitmarken und erstellt interpolierte Marken,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,1,ExbMP3Next2WavAdder,,n,Ergänzt automatisch MP3 Dateien zu WAV-Dateien,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbNormalize,Transkript prüfen & normalisieren (EXB),j,Normalisiert Transkript entspr. Exmadalda-Funktion und behebt ggf. white-space Paramenter,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbRefTierChecker,Sprecher*innenzuordnung der Spuren prüfen & anpassen (EXB),j,Prüft Zuordnung der Tiers zu SprecherInnen,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbScriptMixChecker,auf Vermischung von Schriftsystemen prüfen (EXB),j,Prüft auf mixed scripts (e.g. Cyrillic/Latin),,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbSegmentationChecker,auf Segmentierungsfehler prüfen & EXS-Datei(en) erzeugen (EXB),j,Prüft auf Segmentierungsfehler; wenn keine Fehler wird EXS erzeugt,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,ExbSeparateTiersForDifferentSpeakers,auf Mehrfachzuordnung von Sprecher*innen pro Spur prüfen & korrigieren (EXB),j,Prüft zuordnung mehrerer Sprecher zu einem Tier,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbStructureChecker,auf strukturelle Anomalien prüfen (EXB),j,"Prüft EXB auf ""strukturelle Anomalie""",,was genau ist das?,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,0,ExbTierDisplayNameChecker,Spurenbezeichnung und -eigenschaften prüfen (EXB),j,"Prüft auf Unstimmigkeiten bei category, speaker abbreviation und display name",,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,SegmentedTranscriptionData,0,ExbTimestampsChecker,auf fehlende Zeitstempel prüfen (EXB),j,Prüft auf fehlende Timestamps am Anfang oder Ende von Segmenten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FlextextData,1,FlextextPunctuationChecker,,n,Prüft Punktierungsfehler für Export aus Flex zu Exmaralda,,,,,,,,,,,,,,,,,,,,,,,
,,,,x,,General,1,GeneralTransformer,XSL-Transformation durchführen,j,Startet eine XSL Konvertierung,x,https://gitlab.rrz.uni-hamburg.de/hzsk/metadata-converters,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,GenerateAnnotationPanel,,n,Erstellt ein Annotation Panel aus Daten,,als spezifische Datei aus den enthaltenen EXBs?,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,GenerateAnnotationPanel,,n,Erstellt ein Annotation Panel aus Daten,,als spezifische Datei aus den enthaltenen EXBs?,,,,,,,,,,,,,,,,,,,,,
,,,,,,CmdiData,0,HandlePidRegistration,,n,lädt CMDI Daten und neue Handle PIDs für URLS aus XML Elementen,,wo wird da was hingespeichert ?,,,,,,,,,,,,,,,,,,,,,
,,,,,x,BasicTranscriptionData,0,HScoreHTML,Hscore-HTML-Visualisierung erstellen (EXB),j,Erstellt HTML Visualisierung im HScore Format,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,IAAFunctionality,,n,Kann mehrere Annotationen in Hinblick auf Inter-Annotator-Agreement auswerten und gibt Abweichungen als Error aus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,LanguageToolChecker,Rechtschreibung (De/En/Ru) prüfen (EXB),j,Prüft Rechtschreibung in CorpusDataObject,,,,,,,,,,,,,,,,,,,,,,,
,,,,,x,BasicTranscriptionData,0,ListHTML,HTML-Listenansicht erzeugen (EXB),j,Erstellt HTML Listenansicht der EXB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,NgexmaraldaCorpusChecker,,n,Prüft Datei- und Comanamen für Nganasan Korpus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,NgTierCheckerWithAnnotation,,n,Prüft Annotationsspezifikationen für Nganasan Korpus,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,PrettyPrintData,XML-Struktur prüfen & Merge-Konflikte beseitigen (EXB),j,XML Pretifier,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,1,PrettyPrintData,XML-Struktur prüfen & Merge-Konflikte beseitigen (COMA),j,XML Pretifier,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,SegmentedTranscriptionData,1,PrettyPrintData,XML-Struktur prüfen & Merge-Konflikte beseitigen (EXS),j,XML Pretifier,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,UnspecifiedXMLData,1,PrettyPrintData,XML-Struktur prüfen & Merge-Konflikte beseitigen (XML),j,XML Pretifier,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,RemoveAbsolutePaths,auf absolute Pfade prüfen & durch relative Pfade ersetzen (EXB),j,Ersetzt absolute durch relative Pfade im Korpusordner,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,ComaData,1,RemoveAbsolutePaths,auf absolute Pfade prüfen & durch relative Pfade ersetzen (COMA),j,Ersetzt absolute durch relative Pfade im Korpusordner,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,SegmentedTranscriptionData,1,RemoveAbsolutePaths,auf absolute Pfade prüfen & durch relative Pfade ersetzen (EXS),j,Ersetzt absolute durch relative Pfade im Korpusordner,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,BasicTranscriptionData,1,RemoveAutoSaveExb,auf auto save-Informationen prüfen & entfernen (EXB),j,Entfernt autosave-Informationen,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,SegmentedTranscriptionData,1,RemoveAutoSaveExb,auf auto save-Informationen prüfen & entfernen (EXS),j,Entfernt autosave-Informationen,,,,,,,,,,,,,,,,,,,,,,,
,,x,,,,basicTranscriptionData,1,RemoveEmptyEvents,auf leere Events prüfen & entfernen (EXB),j,Enfernt leere Events,,,,,,,,,,,,,,,,,,,,,,,
,,,x,,,SegmentedTranscriptionData,1,RemoveEmptyEvents,auf leere Events prüfen & entfernen (EXS),j,Enfernt leere Events,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,RemoveUnlinkedFiles,,n,"Entfernt alle Dateien auf Dateiebene, die nicht in der Coma gelinkt sind",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ReportStatistics,HTML-Statistikbericht erstellen (COMA),j,Erstellt / Aktualisiert html statistics report aus Report der Corpus Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,basicTranscriptionData,0,ScoreHTML,Score-HTML-Visualisierung erstellen (EXB),j,Erstellt html visualization im Score-Format,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,VikusViewer,,n,Erstellt config-Datei für vikus-viewer Software,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BasicTranscriptionData,0,XSLTChecker,Überprüfungen entsprechend XSLT-Stylesheet durchführen (EXB),j,Mehrere kleine Checks aus XSLT Stylesheet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,XSLTChecker,Überprüfungen entsprechend XSLT-Stylesheet durchführen (COMA),j,Mehrere kleine Checks aus XSLT Stylesheet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ComaData,0,ZipCorpus,,n,"Erstellt ZIP-Datei mit EXB, EXS, Coma, PDF, MP3 und Ordnerstruktur",,,,,,,,,,,,,,,,,,,,,,,
